# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
rpsL	WD_0014	WD_0014	protein_coding	2932	1538	44	0	1350
rpsM	WD_0660	WD_0660	protein_coding	3032	1494	144	0	1394
rpsO	WD_0905	WD_0905	protein_coding	3152	1496	18	0	1638
rpsP	WD_0798	WD_0798	protein_coding	2658	1372	18	0	1268
rpsQ	WD_0672	WD_0672	protein_coding	2634	1302	18	0	1314
rpsR	WD_0782	WD_0782	protein_coding	3509	1614	63	0	1832
rpsS	WD_0677	WD_0677	protein_coding	2740	1126	54	0	1560
rpsT	WD_1150	WD_1150	protein_coding	2710	1348	36	18	1326
rspN	WD_0668	WD_0668	protein_coding	2774	1538	54	0	1182
ruvA	WD_1113	WD_1113	protein_coding	3030	1500	174	0	1356
ruvB	WD_1112	WD_1112	protein_coding	3112	1372	390	0	1350
ruvC	WD_0142	WD_0142	protein_coding	2947	1574	27	0	1346
sdhA	WD_0437	WD_0437	protein_coding	2812	1192	0	0	1620
sdhB	WD_0727	WD_0727	protein_coding	2685	1262	53	0	1370
sdhC	WD_1221	WD_1221	protein_coding	2896	1058	0	0	1838
secA	WD_0549	WD_0549	protein_coding	2659	1112	231	0	1316
secB	WD_0106	WD_0106	protein_coding	3044	1560	124	0	1360
secD	WD_0086	WD_0086	protein_coding	3234	1336	486	0	1412
secF	WD_0235	WD_0235	protein_coding	2470	1276	36	0	1158
secY	WD_0662	WD_0662	protein_coding	3182	1522	444	0	1216
serS	WD_0028	WD_0028	protein_coding	2964	1398	90	0	1476
smpB	WD_0767	WD_0767	protein_coding	2521	1344	35	0	1142
sodB	WD_0738	WD_0738	protein_coding	3148	1578	142	0	1428
ssb	WD_0774	WD_0774	protein_coding	2843	1440	43	0	1360
sucA	WD_1309	WD_1309	protein_coding	3349	1658	267	0	1424
sucB	WD_0544	WD_0544	protein_coding	2969	1262	117	0	1590
sucC	WD_1210	WD_1210	protein_coding	2898	1360	396	0	1142
sucD	WD_1209	WD_1209	protein_coding	2956	1234	394	0	1328
sugE	WD_0100	WD_0100	protein_coding	3124	1470	36	0	1618
surE	WD_1077	WD_1077	protein_coding	2632	1144	198	0	1290
tgt	WD_0735	WD_0735	protein_coding	3297	1684	63	0	1550
thrS	WD_0978	WD_0978	protein_coding	3486	1292	674	0	1520
tkt	WD_0387	WD_0387	protein_coding	3580	1326	788	0	1466
tldD	WD_0998	WD_0998	protein_coding	3600	1678	592	0	1330
tmk	WD_1251	WD_1251	protein_coding	2670	1300	16	0	1354
topA	WD_1133	WD_1133	protein_coding	3664	1626	212	0	1826
tpiA	WD_0091	WD_0091	protein_coding	2965	1480	35	0	1450
trmD	WD_1022	WD_1022	protein_coding	3396	1902	144	0	1350
trmE	WD_0981	WD_0981	protein_coding	3156	1490	94	0	1572
trmU	WD_1259	WD_1259	protein_coding	2730	1280	54	0	1396
trpS	WD_0801	WD_0801	protein_coding	2488	1174	18	0	1296
truA	WD_1068	WD_1068	protein_coding	2662	1320	252	0	1090
trx	WD_0879	WD_0879	protein_coding	3070	1460	18	9	1592
trxB	WD_0755	WD_0755	protein_coding	3190	1546	314	0	1330
tsf	WD_0531	WD_0531	protein_coding	3206	1360	238	0	1608
tuf	WD_0017	WD_0017	protein_coding	2646	1224	72	0	1350
tuf	WD_0683	WD_0683	protein_coding	3262	1224	534	0	1504
tyrS	WD_1115	WD_1115	protein_coding	3230	1498	298	0	1434
ubiA	WD_1316	WD_1316	protein_coding	3584	1976	270	0	1338
ubiE	WD_0393	WD_0393	protein_coding	3210	1544	0	0	1666
ubiX	WD_0556	WD_0556	protein_coding	2870	1130	176	0	1564
uppS	WD_0527	WD_0527	protein_coding	2748	1274	158	0	1316
uvrA	WD_0916	WD_0916	protein_coding	3053	1348	261	0	1444
uvrB	WD_0839	WD_0839	protein_coding	3934	1448	726	0	1760
uvrC	WD_0154	WD_0154	protein_coding	3178	1276	558	0	1344
uvrD	WD_0963	WD_0963	protein_coding	3242	1358	574	0	1310
valS	WD_0464	WD_0464	protein_coding	3640	1120	860	0	1660
xth	WD_1001	WD_1001	protein_coding	2910	1204	132	0	1574
